2349;7;21131
63502;3;14267
51621;0;33425
3997;9;7410
22852;8;49995
25378;7;7632
9643;8;9615
42758;2;6156
40803;4;6433
3111;7;50466
73131;0;33425
19907;1;27107
71824;5;11200
61902;1;6844
39865;1;38092
74797;9;63933
6911;0;33425
12392;3;27995
43064;0;33425
20013;6;16373
57514;9;11345
50485;1;46648
67364;5;68406
51399;5;25619
29903;9;40830
45976;8;59207
32143;5;25619
49483;9;56475
68657;0;33425
3826;7;22484
50135;7;24401
62373;11;21185
62477;9;40052
7924;9;7989
51579;0;33425
20645;7;4811
65044;7;64492
42492;5;32012
33120;7;57785
22684;0;33425
427;0;33425
27673;0;33425
31177;5;30604
30209;12;22254
70790;9;73211
29790;0;33425
42952;1;7992
27159;5;43598
60560;9;43085
47119;4;45142
7959;5;66950
45561;0;33425
64900;8;56262
22359;7;24794
55085;9;54645
61170;5;25619
62065;5;11868
50450;5;43817
23884;5;51015
4657;7;66275
29023;7;3554
54468;4;3427
52665;8;45720
29045;0;33425
6106;9;27798
14738;3;2004
20256;8;53454
5014;0;33425
45190;1;7992
41184;9;69559
39964;1;28612
69944;9;69252
69094;1;67763
34823;6;51825
57480;1;46648
22526;7;34607
44169;0;33425
59569;5;21209
45314;5;42433
66978;1;28612
34873;0;33425
7431;5;53479
49698;8;58650
20675;0;33425
74127;0;6953
8043;8;8394
959;6;30488
59873;1;27107
74392;5;66950
35890;0;33425
61459;12;1417
42026;0;33425
68751;6;10308
32022;0;6953
66623;3;38241
427;10;3246
46653;7;3503
24996;0;33425
32251;5;55980
69789;3;56522
51000;0;33425
16302;3;56522
25247;1;32071
65138;9;56336
64919;5;8506
10953;1;35699
37528;7;68433
6783;5;6230
60020;9;56449
1109;1;32504
17831;5;664
60503;0;33425
27814;1;27985
63518;1;69614
45207;0;33425
20659;8;34694
58549;0;33425
25129;5;68406
37505;3;21172
43192;1;49404
14051;0;33425
1273;6;19787
33715;10;35762
19178;0;33425
27736;0;33425
64256;7;33911
70912;0;33425
26488;1;44576
32643;1;32071
14304;7;15934
26578;1;67763
43952;8;54744
1813;8;14595
47669;5;46379
73800;8;55759
313;12;21020
29901;8;49404
19523;4;37144
21590;9;20035
25875;1;28612
38775;7;19997
50391;4;56358
23693;5;16668
1421;1;28612
67934;9;18624
63578;7;21131
37531;8;1314
12905;0;33425
45444;4;38666
41958;5;21209
38040;9;62574
3047;9;6975
30867;9;12071
28528;0;33425
31827;1;35699
18710;9;70929
50684;10;49669
25946;0;33425
72495;7;14456
46206;1;38092
44825;4;405
20704;8;26395
25672;9;27704
57992;5;21209
19456;8;14245
47864;1;38092
1469;1;32504
50547;1;27985
47122;1;38092
11873;7;8447
18499;7;58604
19297;7;21131
73574;1;49404
52390;5;11868
16322;10;73484
28491;5;25619
43465;0;33425
62253;0;33425
70035;1;32504
10670;5;13999
16826;8;21131
35797;5;68406
3995;8;22704
24703;0;6953
44372;5;5283
50781;1;67763
69120;9;58604
32899;0;33425
21762;0;33425
57479;7;8447
34051;1;28612
26830;7;39882
23545;9;66089
8661;4;64796
49855;7;43196
22622;1;9099
5656;8;13404
62690;8;227
48665;7;11810
13;3;38241
10570;1;28612
30575;4;45468
15350;8;39083
5709;5;25686
22869;0;33425
73138;1;73630
73949;8;56449
68820;0;33425
42269;1;13961
73147;5;68430
50119;1;28612
28298;5;24689
49441;0;33425
23882;7;55151
23071;0;6953
344;5;13999
17248;8;68695
10713;5;11868
3288;9;57939
27049;5;25272
62019;7;41228
57178;9;57939
29474;1;32504
14002;9;43085
20502;7;60493
27253;9;37870
29202;1;45368
38019;2;14979
42893;6;1701
20816;0;33425
41865;4;9219
59139;0;33425
46389;9;14247
6616;0;33425
32159;0;6953
49003;5;39192
14195;5;24689
12507;1;32504
25620;0;33425
51536;5;25619
71971;5;25619
22917;5;11868
37802;5;25619
35007;12;72306
